domain,expiry_date,function,auto_renewal,privacy,status,registration_fee,renewal_fee,transfer_fee,privacy_fee,miscellaneous_fee,fee_currency,domain_notes,category ,category_stakeholder,category_notes,hosting_provider,hosting_provider_url,hosting_provider_notes,registrar_name,registrar_url,registrar_notes,registrar_account_owner,registrar_account_owner_notes,registrar_account_email_address,registrar_account_username,registrar_account_password,registrar_account_account_id,registrar_account_reseller,registrar_account_reseller_id,registrar_account_notes,api_app_name,api_key,api_secret,api_ip_address_name,api_ip_address,api_ip_address_rdns,api_ip_address_notes,domain_ip_address_name,domain_ip_address,domain_ip_address_rdns,domain_ip_address_notes,dns_profile_name,dns_server_1,dns_server_2,dns_server_3,dns_server_4,dns_server_5,dns_server_6,dns_server_7,dns_server_8,dns_server_9,dns_server_10,dns_notes,dns_ip_1,dns_ip_2,dns_ip_3,dns_ip_4,dns_ip_5,dns_ip_6,dns_ip_7,dns_ip_8,dns_ip_9,dns_ip_10
example.one,2025-05-11,Example.one – All information filled out,0,YES,ACTIVE,1.55,2,3,2,1,USD,The notes for example.one,Category A,Stakeholder A,Category A’s notes,Linode,https://linode.com,Linode’s hosting notes,Dynadot,https://dynadot.com,One of my favourites,Owner 1,Owner 1’s notes,account_one_email@example.com,username_one,pass1,n/a,1,n/a,Account one notes,test_api_connection,9sdfsljdfas8dfasdfijasdlfkasjdfaslkdfj,salkjasd38lsdf8sdf8as9d8fas9d8f,Linode VPS,111.222.333.444,one.two.three.four,Primary Linode VPS’ IP address,Example.one Server IP,22.33.44.55,two.three.four.five,The notes for example.one,"Linode – ns(1,2,3,4}.linode.com",ns1.linode.com,ns2.linode.com,ns3.linode.com,ns4.linode.com,,,,,,,Not really Linode’s DNS servers,123.234.345.678,123.234.345.671,123.234.345.675,583.938.384.484,,,,,,
example.two,2025-05-12,Example.two – All information filled out,1,NO,1,2,3.92,4,2,1,USD,The notes for example.two,Category B,Stakeholder B,Category B’s notes,Linode,https://linode.com,Linode’s hosting notes,Dynadot,https://dynadot.com,One of my favourites,Owner 2,Owner 2’s notes,account_two_email@example.com,username_two,pass2,,no,,Account two notes,domainmod connection,jfj3jsf723231j3k2jlkq34kj3h4kj23342k3j4h,mdd88832j3l434jhas8asd9f89a8sdfh9asd8f,,222.333.444.555,two.three.four.five,Secondary Linode’s IP notes,Example.two Server IP,33.44.55.66,three.four.five.six,The notes for example.two,"Linode – ns(1,2,3,4}.linode.com",ns1.linode.com,ns2.linode.com,ns3.linode.com,ns4.linode.com,,,,,,,Not really Linode’s DNS servers,123.234.345.678,123.234.345.671,123.234.345.675,583.938.384.484,,,,,,
example.three,2025-05-13,Example.three – All information filled out,YES,1,pending renewal,3,4,5.12,2,1,USD,The notes for example.three,Category 1,Stakeholder 1,Category 1’s notes,KnownHost,https://knownhost.com,KnownHost’s hosting notes,Linode Domains,https://linode.com,Another favourite,Owner A,Owner A’s notes,account_three_email@example.com,username_three,pass3,8348377734,YES,93993939393,Account three notes,,,,,333.444.555.666,three.four.five.six,Another Linode IP notes,Example.three Server IP,44.55.66.77,four.five.six.seven,The notes for example.three,"Hurricane Electric – ns{1,2,3,4,5}.he.net",dns1.he.net,dns2.he.net,dns3.he.net,dns4.he.net,dns5.he.net,,,,,,Actually Hurricane Electric’s DNS servers,345.456.567.678,345.456.567.673,345.456.567.677,883.388.994.2,55.55.55.55,,,,,
example.four,2025-05-14,Example.four – All information filled out,NO,0,pending (registration),4,5,6,2.12,1,USD,The notes for example.four,Category 2,Stakeholder 2,Category 2’s notes,KnownHost,https://knownhost.com,KnownHost’s hosting notes,Linode Domains,https://linode.com,Another favourite,Owner B,Owner B’s notes,account_four_email@example.com,username_four,pass4,8sfj3klsksdlklsdflkjslksdlkfj,0,Kdfjlsdfkls-sdfkjsl-sdfkj-sdflkj,Account four notes,,,,,444.555.666.777,four.five.six.seven,And another Linode IP notes,Example.four Server IP,55.66.77.88,five.six.seven.eight,The notes for example.four,"Hurricane Electric – ns{1,2,3,4,5}.he.net",dns1.he.net,dns2.he.net,dns3.he.net,dns4.he.net,dns5.he.net,,,,,,Actually Hurricane Electric’s DNS servers,345.456.567.678,345.456.567.673,345.456.567.677,883.388.994.2,55.55.55.55,,,,,
example.five,2025-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.six,2025-05-16,Example.six – Just an expiry date and notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.seven,,Example.seven – A few pieces of information filled out,,0,,1.99,1.99,1.99,1.99,1,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.eight,,Example.eight – Barely any information filled out,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.ten,2025-05-17,Example.ten – Most information filled out,YES,1,active,10,11,12,13,1,CAD,,Category 3,Stakeholder 3,Category 3’s notes,KnownHost,https://knownhost.com,KnownHost’s hosting notes,10Dollar.ca,https://10dollar.ca,,Owner C,,account_ten_email@example.com,username_ten,pass3,8348377734,YES,93993939393,Account three notes,,,,,555.666.777.888,five.six.seven.eight,Another Linode IP notes,Example.ten Server IP,66.77.88.99,ss.ss.ee.nn,,"Hurricane Electric – ns{1,2,3,4,5}.he.net",dns1.he.net,dns2.he.net,dns3.he.net,dns4.he.net,dns5.he.net,,,,,,Actually Hurricane Electric’s DNS servers,345.456.567.678,345.456.567.673,345.456.567.677,883.388.994.2,55.55.55.55,,,,,
